id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
miaxxx99,Miami Dolphins,MIA,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,622.8,0.3,212.5,,,,,,,,,13.5,7.5,10.6,329.0,37.1,0.4,2.3,4864.0,14.87
norxxx99,New Orleans Saints,NO,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,574.7,0.2,192.8,,,,,,,,,12.1,7.9,11.5,312.0,37.1,0.4,1.8,4811.0,14.84
cinxxx99,Cincinnati Bengals,CIN,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,628.9,0.2,200.5,,,,,,,,,15.1,8.4,11.5,318.0,32.7,0.4,1.8,4912.0,14.62
SmitDe04,DeVonta Smith,PHI,wr,@ 10:10 PM EDT,24,14.7,,,,,,,,,,,,,,,,49.6,80.5,6.3,999.7,,,0.0,23.8,,,,,,,,,,,,,,,,,14.87
WaddJa00,Jaylen Waddle,MIA,wr,@ 10:10 PM EDT,24,14.7,,,,,,,,,,,,4.5,1.5,0.4,28.0,48.9,67.8,5.9,1102.0,,,,,,,,,,,,,,,,,,,,,14.85
WilsRu00,Russell Wilson,DEN,qb,@ 10:10 PM EDT,34,15.0,,443.8,287.4,161.8,9.6,22.0,20.8,3198.0,7.2,,,45.3,9.8,1.2,216.0,,,,,,,,,,,,,,,,,,,,,,,,,14.51
AlleKe00,Keenan Allen,LAC,wr,@ 10:10 PM EDT,31,14.7,,,,,,,,,,,,2.0,0.4,,10.0,49.4,84.4,6.0,954.7,,,,,,,,,,,,,,,,,,,,,14.78
htxxxx99,Houston Texans,HOU,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,567.1,0.3,214.9,,,,,,,,,16.3,8.4,13.7,349.0,35.3,0.4,2.0,5338.0,14.36
KuppCo00,Cooper Kupp,LAR,wr,@ 10:10 PM EDT,30,11.7,,,,,,,,,,,,4.4,1.3,0.1,30.0,48.2,80.7,6.1,945.3,,,,,,,,,,,,,,,,,,,,,18.4
MixoJo00,Joe Mixon,CIN,rb,@ 10:10 PM EDT,27,14.3,,,,,,,,,,,,199.7,39.2,7.2,797.0,21.2,45.2,2.4,336.3,,,,,,,,,,,,,,,,,,,,,14.98
otixxx99,Tennessee Titans,TEN,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,718.6,0.3,218.0,,,,,,,,,11.7,5.7,11.5,333.0,32.7,0.4,1.7,5333.0,14.22
HenrDe00,Derrick Henry,TEN,rb,@ 10:10 PM EDT,29,14.3,,,,,,,,,,,,246.8,50.9,8.1,1064.7,13.6,26.4,1.3,257.3,,,,,,,,,,,,,,,,,,,,,14.88
denxxx99,Denver Broncos,DEN,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,552.8,0.2,205.2,,,,,,,,,12.0,7.1,13.2,319.0,28.2,0.4,1.4,4921.0,14.21
seaxxx99,Seattle Seahawks,SEA,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,569.7,0.1,117.1,,,,,,,,,15.5,8.8,11.5,341.0,34.4,0.4,2.3,5318.0,14.18
PickKe00,Kenny Pickett,PIT,qb,@ 10:10 PM EDT,25,15.0,,494.6,321.6,177.3,11.4,22.0,17.0,3427.7,6.9,,,52.4,10.3,2.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,14.13
sdgxxx99,Los Angeles Chargers,LAC,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,570.1,0.2,175.9,,,,,,,,,15.3,8.8,11.5,339.0,34.4,0.4,2.1,5078.0,14.1
LoveJo01,Jordan Love,GB,qb,@ 10:10 PM EDT,24,15.0,,434.0,276.7,157.5,11.8,18.0,20.5,3128.0,7.2,,,47.3,9.7,1.8,195.7,,,,,,,,,,,,,,,,,,,,,,,,,14.06
GibbJa00,Jahmyr Gibbs,DET,rb,@ 10:10 PM EDT,21,14.3,,,,,,,,,,,,144.7,33.2,5.5,690.0,23.9,44.8,3.4,432.3,,,,,,,,,,,,,,,,,,,,,14.62
gnbxxx99,Green Bay Packers,GB,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.3,828.7,0.3,238.7,,,,,,,,,14.0,7.1,13.2,347.0,31.8,0.4,2.0,5113.0,13.89
WilsGa00,Garrett Wilson,NYJ,wr,@ 10:10 PM EDT,23,14.7,,,,,,,,,,,,3.2,0.8,0.0,18.0,45.8,72.0,6.8,937.0,,,,,,,,,,,,,,,,,,,,,14.2
CarrDe02,Derek Carr,NO,qb,@ 10:10 PM EDT,32,15.0,,462.3,302.6,168.8,12.9,19.3,21.2,3490.3,7.5,,,25.9,3.7,0.8,72.3,,,,,,,,,,,,,,,,,,,,,,,,,13.86
MetcDK00,DK Metcalf,SEA,wr,@ 10:10 PM EDT,25,14.7,,,,,,,,,,,,0.7,0.1,,3.3,44.9,70.1,7.6,915.7,,,,,,,,,,,,,,,,,,,,,14.12
CookJa05,James Cook,BUF,rb,@ 10:10 PM EDT,24,14.3,,,,,,,,,,,,168.7,36.8,3.5,829.0,23.2,45.4,3.0,405.3,,,,,,,,,,,,,,,,,,,,,14.43
JoneMa04,Mac Jones,NE,qb,@ 10:10 PM EDT,25,15.0,,457.7,304.1,167.5,11.1,18.0,20.3,3312.0,7.2,,,36.9,5.7,1.0,116.7,,,,,,,,,,,,,,,,,,,,,,,,,13.77
