id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
bufxxx99,Buffalo Bills,BUF,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.3,746.7,0.3,239.3,,,,,,,,,16.9,9.6,17.0,329.0,41.0,0.6,2.9,5129.0,15.82
WilsGa00,Garrett Wilson,NYJ,wr,@ 10:34 PM EDT,23,16.3,,,,,,,,,,,,3.8,0.7,0.0,18.0,60.3,92.6,8.1,1255.0,,,,,,,,,,,,,,,,,,,,,16.49
ChubNi00,Nick Chubb,CLE,rb,@ 10:34 PM EDT,27,15.5,,,,,,,,,,,,286.9,68.0,10.8,1423.8,14.5,30.6,1.0,251.1,,,,,,,,,,,,,,,,,,,,,17.26
PollTo01,Tony Pollard,DAL,rb,@ 10:34 PM EDT,26,16.6,,,,,,,,,,,,226.5,53.1,8.5,1110.7,24.3,48.8,2.7,412.6,,11.5,,,,,,,,,,,,,,,,,,,17.25
ravxxx99,Baltimore Ravens,BAL,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,643.2,0.3,229.1,,,,,,,,,17.1,9.7,12.8,347.0,44.0,0.7,3.1,5496.5,15.56
pitxxx99,Pittsburgh Steelers,PIT,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,580.8,0.3,201.2,,,,,,,,,12.8,7.2,15.2,377.5,46.5,0.6,2.7,5786.5,15.55
nyjxxx99,New York Jets,NYJ,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,622.4,0.2,172.8,,,,,,,,,15.2,9.2,13.6,368.0,43.0,0.6,3.2,5544.5,15.53
HenrDe00,Derrick Henry,TEN,rb,@ 10:34 PM EDT,29,15.5,,,,,,,,,,,,309.9,65.1,10.4,1361.9,15.8,31.9,1.0,285.3,,,,,,,,,,,,,,,,,,,,,16.98
norxxx99,New Orleans Saints,NO,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,571.4,0.2,186.5,,,,,,,,,14.8,8.9,14.5,358.5,42.0,0.6,2.6,5538.5,15.33
miaxxx99,Miami Dolphins,MIA,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,610.1,0.3,197.6,,,,,,,,,15.6,8.7,13.0,377.5,42.5,0.6,2.9,5650.5,15.28
kanxxx99,Kansas City Chiefs,KC,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,691.4,0.3,206.2,,,,,,,,,17.2,9.6,13.9,372.5,37.8,0.6,3.0,5858.5,15.25
PickKe00,Kenny Pickett,PIT,qb,@ 10:34 PM EDT,25,16.2,,568.2,366.8,204.0,11.4,23.8,21.1,3919.1,6.9,,,65.4,13.8,2.7,276.3,,,,,,,,,,,,,,,,,,,,,,,,,15.94
WaddJa00,Jaylen Waddle,MIA,wr,@ 10:34 PM EDT,24,16.3,,,,,,,,,,,,3.0,1.0,0.2,21.2,58.7,83.2,7.2,1299.6,,,,,,,,,,,,,,,,,,,,,15.93
jaxxxx99,Jacksonville Jaguars,JAX,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,626.1,0.3,215.0,,,,,,,,,17.3,9.4,11.9,380.0,39.0,0.6,3.3,5776.5,15.2
seaxxx99,Seattle Seahawks,SEA,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,606.7,0.2,124.7,,,,,,,,,17.0,9.6,13.0,379.0,38.5,0.6,2.9,6024.5,15.15
WilsRu00,Russell Wilson,DEN,qb,@ 10:34 PM EDT,34,15.8,,524.1,336.0,189.3,11.9,27.0,22.4,3908.5,7.5,,,55.0,12.6,1.7,272.2,,,,,,,,,,,,,,,,,,,,,,,,,16.24
gnbxxx99,Green Bay Packers,GB,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.3,872.9,0.3,250.3,,,,,,,,,15.6,8.3,15.1,391.0,36.5,0.6,2.7,5810.5,15.1
htxxxx99,Houston Texans,HOU,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,548.9,0.3,219.6,,,,,,,,,16.6,8.8,14.9,417.0,36.5,0.6,2.6,6248.0,15.09
detxxx99,Detroit Lions,DET,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,649.7,0.2,187.6,,,,,,,,,16.8,9.4,13.2,399.5,37.5,0.6,2.8,6039.0,15.04
clexxx99,Cleveland Browns,CLE,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.3,726.3,0.3,208.0,,,,,,,,,15.2,8.4,12.5,383.0,38.5,0.6,3.0,5584.0,15.03
cinxxx99,Cincinnati Bengals,CIN,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,615.9,0.3,229.2,,,,,,,,,16.5,9.2,13.2,371.5,38.5,0.6,2.6,5734.5,15.03
sdgxxx99,Los Angeles Chargers,LAC,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,597.1,0.2,190.6,,,,,,,,,16.6,9.4,12.7,404.5,38.0,0.6,2.8,5868.0,15.02
nygxxx99,New York Giants,NYG,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,647.6,0.2,172.5,,,,,,,,,16.8,9.4,12.2,397.5,38.0,0.6,2.7,5929.5,14.94
JacoJo00,Josh Jacobs,LV,rb,@ 10:34 PM EDT,25,15.5,,,,,,,,,,,,269.6,57.4,8.9,1208.6,19.9,43.4,0.9,324.5,,,,,,,,,,,,,,,,,,,,,16.36
