"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"73","KhaDarel Hodge (ATL)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"74","Tre Tucker (LV)","2","3","16","8.0","12","0","0","1","2","0","0","1","1.8","1.8","0.1%"
"75","Tim Jones (JAC)","2","2","17","8.5","13","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"76","Byron Pringle (WAS)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"77","Skyy Moore (KC)","2","3","15","7.5","11","0","0","0","0","0","0","1","1.5","1.5","31.2%"
"78","Hunter Renfrow (LV)","2","3","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","3.8%"
"79","Kadarius Toney (KC)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","26.4%"
"80","Isaiah Hodgins (NYG)","2","4","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","1.9%"
"81","Jalen Reagor (NE)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"82","Deonte Harty (BUF)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.4%"
"83","DeVante Parker (NE)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","2.1%"
"84","Allen Robinson II (PIT)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","2.7%"
"85","Isaiah McKenzie (IND)","0","0","0","0","0","0","0","1","7","0","0","1","0.7","0.7","0.1%"
"86","Braxton Berrios (MIA)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","3.6%"
"87","Trishton Jackson (MIN)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"88","Gabe Davis (BUF)","1","5","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","84.4%"
"89","Mecole Hardman Jr. (KC)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","10.5%"
"90","Trey Palmer (TB)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.5%"
"91","Calvin Ridley (JAC)","1","4","5","5.0","5","0","0","1","0","0","0","1","0.5","0.5","97.1%"
"92","Trent Sherfield (BUF)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.1%"
"93","Van Jefferson (ATL)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","3.8%"
"94","Samori Toure (GB)","1","2","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"95","Julio Jones (PHI)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","7.7%"
"96","Tyquan Thornton (NE)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","1.1%"
"97","Calvin Austin III (PIT)","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","2.0%"
"98","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Dyami Brown (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"101","Ihmir Smith-Marsette (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
