"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"102","Deon Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"103","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"105","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Jonathan Ward (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"108","JaMycal Hasty (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"109","Patrick Taylor Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"110","Tony Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"111","James Robinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"112","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"113","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"115","Zonovan Knight (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"116","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"118","Pierre Strong Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","8.1%"
"119","Tyler Badie (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
